Data,Volume,Fechamento,Abertura,Mínimo,Máximo,Médio
1987-04-03,1.1586895059e-05,3.7862941852e-10,4.2317405752e-10,3.7862941852e-10,4.2317405752e-10,4.0758344554e-10
1987-04-06,6.1818182638e-07,3.7862941852e-10,3.7862941852e-10,3.7862941852e-10,3.7862941852e-10,3.7862941852e-10
1987-04-07,1.4674908871e-05,3.7862941852e-10,4.0090172506e-10,3.7862941852e-10,4.2317405752e-10,3.942200305e-10
1987-04-08,1.3090908866e-06,4.0090172506e-10,4.0090172506e-10,4.0090172506e-10,4.0090172506e-10,4.0090172506e-10
1987-04-10,5.9999999675e-08,3.6749325229e-10,3.6749325229e-10,3.6749325229e-10,3.6749325229e-10,3.6749325229e-10
1987-04-13,8.7272731418e-06,3.3408477952e-10,3.6749325229e-10,3.3408477952e-10,3.6749325229e-10,3.5635711199e-10
1987-04-15,2.0363635638e-05,3.1181244706e-10,3.1181244706e-10,3.1181244706e-10,3.1403966994e-10,3.1181244706e-10
1987-04-22,8.3309093025e-06,3.6749325229e-10,3.4522091983e-10,3.4522091983e-10,3.6749325229e-10,3.5190264031e-10
1987-04-23,9.0632725338e-06,4.6771867059e-10,3.808566414e-10,3.7862941852e-10,4.6771867059e-10,4.1426511416e-10
1987-04-24,5.7861817958e-05,6.6816955905e-10,5.1226333552e-10,5.1226333552e-10,6.6816955905e-10,6.0580705926e-10
1987-04-27,1.0909091003e-06,6.6816955905e-10,6.6816955905e-10,6.6816955905e-10,6.6816955905e-10,6.6816955905e-10
1987-04-28,1.1079999618e-05,6.0135261351e-10,6.6816955905e-10,6.0135261351e-10,6.6816955905e-10,6.1694319957e-10
1987-04-29,2.2672728805e-05,6.4589727844e-10,6.4589727844e-10,6.4589727844e-10,6.4589727844e-10,6.4589727844e-10
1987-04-30,2.1763634953e-05,6.4589727844e-10,6.4589727844e-10,6.0135261351e-10,6.4589727844e-10,6.3476103442e-10
1987-05-04,2.826181977e-05,5.7908028105e-10,5.81307478e-10,5.7908028105e-10,6.0357986232e-10,5.9689816776e-10
1987-05-05,7.8545458276e-06,5.3453566798e-10,5.3453566798e-10,5.3453566798e-10,5.3453566798e-10,5.3453566798e-10
1987-05-06,4.5454544439e-07,5.5680794859e-10,5.5680794859e-10,5.5680794859e-10,5.5680794859e-10,5.5680794859e-10
1987-05-07,2.6072727686e-06,5.3230841918e-10,5.3230841918e-10,5.3230841918e-10,5.3230841918e-10,5.3230841918e-10
1987-05-08,8.7272731418e-07,5.3453566798e-10,5.3453566798e-10,5.3453566798e-10,5.3453566798e-10,5.3453566798e-10
1987-05-12,4.6138180928e-05,5.3230841918e-10,5.5680794859e-10,5.3230841918e-10,5.5680794859e-10,5.4344455948e-10
1987-05-13,8.6545461619e-07,5.3008122223e-10,5.3008122223e-10,5.3008122223e-10,5.3008122223e-10,5.3008122223e-10
1987-05-14,7.8909090635e-07,4.833093085e-10,4.833093085e-10,4.833093085e-10,4.833093085e-10,4.833093085e-10
1987-05-15,7.6363633641e-06,4.6771867059e-10,4.6771867059e-10,4.6771867059e-10,4.6771867059e-10,4.6771867059e-10
1987-05-18,1.5272726728e-05,4.6771867059e-10,4.6771867059e-10,4.6771867059e-10,4.6771867059e-10,4.6771867059e-10
1987-05-20,4.1890908033e-06,4.4544638998e-10,4.4544638998e-10,4.1203789129e-10,4.4544638998e-10,4.2762850327e-10
1987-05-29,5.3236362609e-06,2.6726783399e-10,2.7172227974e-10,2.6726783399e-10,2.7172227974e-10,2.7172227974e-10
1987-06-01,2.9272727922e-06,2.5613166776e-10,2.5613166776e-10,2.5613166776e-10,2.5613166776e-10,2.5613166776e-10
1987-06-02,1.9069090062e-06,2.5613166776e-10,2.4499550153e-10,2.4499550153e-10,2.5613166776e-10,2.5390441896e-10
1987-06-03,4.9375999732e-05,2.3608655817e-10,2.338593353e-10,2.338593353e-10,2.4499550153e-10,2.4499550153e-10
1987-06-04,0.00027890728597,2.2272319499e-10,2.338593353e-10,2.1826872331e-10,2.3608655817e-10,2.2272319499e-10
1987-06-05,0.00055600184459,2.2272319499e-10,2.2272319499e-10,2.0045086253e-10,2.2495041787e-10,2.2272319499e-10
1987-06-08,8.0502946825e-05,2.3608655817e-10,2.338593353e-10,2.2272319499e-10,2.4054105578e-10,2.3608655817e-10
1987-06-09,3.2893272426e-06,2.5390441896e-10,2.2272319499e-10,2.2272319499e-10,2.5390441896e-10,2.5167719608e-10
1987-06-10,0.00022087046234,2.6726783399e-10,2.5613166776e-10,2.5613166776e-10,2.6726783399e-10,2.6058611351e-10
1987-06-11,4.0761815575e-06,3.3408477952e-10,2.7840397429e-10,2.7840397429e-10,3.3408477952e-10,3.1403966994e-10
1987-06-12,1.6799999401e-05,3.0958522419e-10,3.3408477952e-10,3.0958522419e-10,3.3408477952e-10,3.1181244706e-10
1987-06-16,5.2669094706e-05,5.5680794859e-10,4.4544638998e-10,4.4544638998e-10,5.5680794859e-10,4.74400417e-10
1987-06-17,0.00013128546401,4.6771867059e-10,5.5680794859e-10,4.6771867059e-10,5.5680794859e-10,4.74400417e-10
1987-06-18,7.015272213e-05,4.6771867059e-10,5.1226333552e-10,4.6771867059e-10,5.1226333552e-10,4.7217311634e-10
1987-06-19,0.00058377270214,5.1226333552e-10,4.8999100305e-10,4.4544638998e-10,5.1226333552e-10,5.0112714336e-10
1987-06-22,0.0003223222359,5.3453566798e-10,5.1226333552e-10,5.1226333552e-10,5.5680794859e-10,5.1671778127e-10
1987-06-23,0.00018802981612,4.7885486275e-10,5.1226333552e-10,4.7885486275e-10,5.1226333552e-10,5.1003608671e-10
1987-06-24,0.00010995491282,5.3453566798e-10,4.7885486275e-10,4.2317405752e-10,5.3453566798e-10,4.7885486275e-10
1987-06-26,6.9641091471e-05,5.5680794859e-10,5.7908028105e-10,5.3453566798e-10,5.7908028105e-10,5.5903519739e-10
1987-06-30,1.1357090622e-05,5.8121915358e-10,7.4396056855e-10,5.8121915358e-10,7.4396056855e-10,5.9516841154e-10
1987-07-01,1.8157090103e-05,5.1147286382e-10,5.5564553205e-10,5.1147286382e-10,5.5797042642e-10,5.3007185638e-10
1987-07-02,0.0002898818057,5.230972274e-10,5.3472164512e-10,5.1147286382e-10,5.3472164512e-10,5.230972274e-10
1987-07-03,0.00027106362469,5.230972274e-10,5.230972274e-10,5.230972274e-10,5.230972274e-10,5.230972274e-10
1987-07-06,0.00033299998567,5.1147286382e-10,5.230972274e-10,5.1147286382e-10,5.230972274e-10,5.230972274e-10
1987-07-07,2.2985453726e-05,4.8822408252e-10,4.8822408252e-10,4.8822408252e-10,4.8822408252e-10,4.8822408252e-10
1987-07-08,2.9679997824e-05,4.8822408252e-10,4.8822408252e-10,4.8822408252e-10,5.1147286382e-10,4.9287381712e-10
1987-07-09,1.279999993e-05,5.1147286382e-10,5.1147286382e-10,5.1147286382e-10,5.1147286382e-10,5.1147286382e-10
1987-07-10,4.1574548083e-05,5.3472164512e-10,5.1147286382e-10,5.1147286382e-10,5.3472164512e-10,5.1612265255e-10
1987-07-14,2.6056725362e-05,4.8822408252e-10,5.0914802358e-10,4.8822408252e-10,5.0914802358e-10,4.9287381712e-10
1987-07-15,4.5382526941e-05,5.3472164512e-10,4.6497535535e-10,4.6497535535e-10,5.463460087e-10,5.1844749279e-10
1987-07-16,9.9054547873e-05,5.3472164512e-10,5.3472164512e-10,5.1147286382e-10,5.6959479e-10,5.2774701614e-10
1987-07-17,4.7214547697e-05,5.5797042642e-10,5.5797042642e-10,5.5797042642e-10,5.5797042642e-10,5.5797042642e-10
1987-07-20,5.9799998575e-06,6.0446793488e-10,5.8354404795e-10,5.8354404795e-10,6.0446793488e-10,5.8819378256e-10
1987-07-21,2.9905454679e-05,6.0446793488e-10,6.0446793488e-10,5.8121915358e-10,6.0446793488e-10,5.9749330591e-10
1987-07-22,9.0535453521e-05,6.7421427878e-10,6.5096544335e-10,5.8121915358e-10,6.9746300595e-10,6.6723959568e-10
1987-07-23,0.00015974399393,6.5329033772e-10,6.7421427878e-10,6.2771671618e-10,6.9746300595e-10,6.6491470131e-10
1987-07-24,0.00011957454706,6.7421427878e-10,6.5096544335e-10,6.5096544335e-10,6.9746300595e-10,6.7653911902e-10
1987-07-27,5.5469094657e-05,6.7421427878e-10,6.7421427878e-10,6.7421427878e-10,6.7421427878e-10,6.7421427878e-10
1987-07-28,0.00027783999499,7.4396056855e-10,6.9746300595e-10,6.9746300595e-10,7.4396056855e-10,7.0211274056e-10
1987-07-29,0.00024529769419,7.4396056855e-10,7.4396056855e-10,7.4396056855e-10,7.6720929572e-10,7.4628540879e-10
1987-07-30,0.00046464000363,8.8345314809e-10,7.6720929572e-10,7.6720929572e-10,8.8345314809e-10,8.1835659293e-10
1987-07-31,0.00058863453516,1.0461944548e-09,9.5319943786e-10,9.5319943786e-10,1.0461944548e-09,9.787730594e-10
1987-08-03,0.00046501002368,1.1647633098e-09,1.0926920174e-09,1.0926920174e-09,1.2786821595e-09,1.1880120369e-09
1987-08-04,0.00048689818399,1.2554334323e-09,1.1624383071e-09,1.1624383071e-09,1.2786821595e-09,1.1949866118e-09
1987-08-05,0.00091221821105,1.3716772847e-09,1.2321847052e-09,1.2321847052e-09,1.3949260119e-09,1.3135553585e-09
1987-08-06,0.0014050326509,1.3716772847e-09,1.3716772847e-09,1.3484285575e-09,1.3949260119e-09,1.3693522821e-09
1987-08-07,0.00082987927307,1.3693522821e-09,1.3484285575e-09,1.2089358697e-09,1.3716772847e-09,1.3507533436e-09
1987-08-10,0.00019346908378,1.3019308867e-09,1.3484285575e-09,1.2786821595e-09,1.3484285575e-09,1.3158801446e-09
1987-08-11,0.00028465089016,1.0926920174e-09,1.2554334323e-09,1.0926920174e-09,1.2554334323e-09,1.1275651081e-09
1987-08-12,0.00040423347635,1.2089358697e-09,1.1298901107e-09,1.1298901107e-09,1.2903066313e-09,1.2600832211e-09
1987-08-13,0.00018856945607,1.1624383071e-09,1.1856870343e-09,1.1601134128e-09,1.1856870343e-09,1.1670880959e-09
1987-08-14,1.0202182693e-05,1.1647633098e-09,1.1624383071e-09,1.1624383071e-09,1.1647633098e-09,1.1647633098e-09
1987-08-18,1.7999999902e-05,1.1508139435e-09,1.1508139435e-09,1.1508139435e-09,1.1508139435e-09,1.1508139435e-09
1987-08-19,4.093272857e-05,1.1159408528e-09,1.1368646856e-09,1.1043163809e-09,1.1368646856e-09,1.1136159584e-09
1987-08-20,4.1454543614e-05,1.0461944548e-09,1.1136159584e-09,1.0461944548e-09,1.1136159584e-09,1.0601437127e-09
1987-08-21,0.00011258908987,1.0694432902e-09,1.0694432902e-09,1.0461944548e-09,1.0694432902e-09,1.0508442435e-09
1987-08-24,0.0001132523664,1.0461944548e-09,1.0694432902e-09,9.4157507428e-10,1.0694432902e-09,1.0554940322e-09
1987-08-25,2.9454544187e-05,1.0461944548e-09,1.0461944548e-09,1.0461944548e-09,1.0461944548e-09,1.0461944548e-09
1987-08-26,7.8803359885e-05,9.9969700046e-10,9.8807263688e-10,9.8807263688e-10,9.9969700046e-10,9.9504721172e-10
1987-08-27,0.00067869060136,1.0694432902e-09,1.0229457276e-09,1.0229457276e-09,1.0694432902e-09,1.0392197716e-09
1987-08-28,1.9199999896e-05,1.0229457276e-09,1.0461944548e-09,9.9969700046e-10,1.0461944548e-09,1.0229457276e-09
1987-08-31,3.7636362016e-05,1.0438695604e-09,1.0461944548e-09,1.0438695604e-09,1.0461944548e-09,1.0461944548e-09
1987-09-02,4.3636365709e-05,9.2995071069e-10,9.2995071069e-10,9.2995071069e-10,9.2995071069e-10,9.2995071069e-10
1987-09-03,7.2072730696e-05,9.2995071069e-10,9.2995071069e-10,9.2995071069e-10,9.2995071069e-10,9.2995071069e-10
1987-09-04,3.857454556e-05,9.7644816503e-10,8.1370685832e-10,8.1370685832e-10,9.7644816503e-10,9.6714869581e-10
1987-09-08,0.00010943999209,9.7644816503e-10,9.7644816503e-10,9.5319943786e-10,9.7644816503e-10,9.7179837629e-10
1987-09-09,0.00029581755846,9.787730594e-10,9.7644816503e-10,9.5319943786e-10,9.9969700046e-10,9.787730594e-10
1987-09-10,9.9981820041e-06,1.0020217865e-09,9.8342284814e-10,9.7644816503e-10,1.0020217865e-09,9.8342284814e-10
1987-09-11,4.8218183219e-05,1.0461944548e-09,1.011321364e-09,1.011321364e-09,1.0461944548e-09,1.0275955163e-09
1987-09-14,4.9729088768e-06,1.0485194574e-09,1.0461944548e-09,1.0461944548e-09,1.0485194574e-09,1.0461944548e-09
1987-09-15,0.00014229599349,1.0926920174e-09,1.0485194574e-09,1.0485194574e-09,1.0926920174e-09,1.0740929707e-09
1987-09-16,0.00022454544953,1.1624383071e-09,1.1624383071e-09,1.1624383071e-09,1.1624383071e-09,1.1624383071e-09
1987-09-17,4.5727273788e-05,1.1856870343e-09,1.1624383071e-09,1.1624383071e-09,1.1856870343e-09,1.1694129902e-09
1987-09-18,0.00012925309402,1.3484285575e-09,1.2321847052e-09,1.2321847052e-09,1.3484285575e-09,1.2693826903e-09
1987-09-21,0.00040476292284,1.3949260119e-09,1.3949260119e-09,1.3949260119e-09,1.4204996334e-09,1.3995758006e-09
1987-09-22,6.218181415e-05,1.3251796138e-09,1.3251796138e-09,1.3251796138e-09,1.3251796138e-09,1.3251796138e-09
1987-09-23,1.9829090685e-05,1.33912898e-09,1.3251796138e-09,1.3251796138e-09,1.3484285575e-09,1.3344791913e-09
1987-09-24,5.4061786048e-05,1.2089358697e-09,1.1624383071e-09,1.1624383071e-09,1.2089358697e-09,1.1996362922e-09
1987-09-25,3.9732727815e-05,1.2438089605e-09,1.2321847052e-09,1.2321847052e-09,1.2438089605e-09,1.23915928e-09
1987-09-28,0.00020885599887,1.2786821595e-09,1.2438089605e-09,1.2321847052e-09,1.3019308867e-09,1.2786821595e-09
1987-09-29,0.00031224636651,1.3716772847e-09,1.3019308867e-09,1.2438089605e-09,1.3716772847e-09,1.3623777072e-09
1987-09-30,0.00063254399747,1.3949260119e-09,1.38330154e-09,1.2786821595e-09,1.3949260119e-09,1.3926011175e-09
1987-10-01,0.00034781999812,1.418174739e-09,1.3949260119e-09,1.3949260119e-09,1.4414234662e-09,1.4065503754e-09
1987-10-02,0.00022750253535,1.418174739e-09,1.418174739e-09,1.3949260119e-09,1.4414234662e-09,1.4135249503e-09
1987-10-05,1.9636363807e-05,1.3949260119e-09,1.3949260119e-09,1.3949260119e-09,1.3949260119e-09,1.3949260119e-09
1987-10-06,0.00013309091025,1.3949260119e-09,1.3949260119e-09,1.3949260119e-09,1.3949260119e-09,1.3949260119e-09
1987-10-07,0.00016409454478,1.5576673186e-09,1.4646723016e-09,1.4646723016e-09,1.5576673186e-09,1.5204693334e-09
1987-10-08,0.00030334436164,1.7436574608e-09,1.5576673186e-09,1.5576673186e-09,1.7436574608e-09,1.6762360654e-09
1987-10-09,0.00099640583122,1.8134038588e-09,1.7436574608e-09,1.7436574608e-09,1.8599014214e-09,1.80875407e-09
1987-10-13,0.00088462980606,1.9528963301e-09,1.8134038588e-09,1.8134038588e-09,1.9528963301e-09,1.901749087e-09
1987-10-14,0.0020129017992,1.9528963301e-09,1.9528963301e-09,1.8831501486e-09,2.0226427281e-09,1.9738202711e-09
1987-10-15,0.00044800001197,2.3248766143e-09,1.9993940009e-09,1.9296476029e-09,2.3248766143e-09,2.0830895486e-09
1987-10-16,0.0017150557668,2.4411204667e-09,2.3713740687e-09,2.3248766143e-09,2.6736081714e-09,2.5131918674e-09
1987-10-19,0.00099572362249,2.3248766143e-09,2.4411204667e-09,2.0923889096e-09,2.4411204667e-09,2.3132522508e-09
1987-10-20,0.00087433857515,1.7669062962e-09,1.8831501486e-09,1.7436574608e-09,1.9761452738e-09,1.8994243009e-09
1987-10-21,0.00061710258641,1.8599014214e-09,1.7669062962e-09,1.7669062962e-09,1.9296476029e-09,1.8645512101e-09
1987-10-22,0.00070188401695,1.7692311906e-09,1.8599014214e-09,1.7436574608e-09,1.8599014214e-09,1.7971297065e-09
1987-10-23,0.00044687127634,1.7669062962e-09,1.7669062962e-09,1.7436574608e-09,1.7669062962e-09,1.7506321439e-09
1987-10-26,0.00030331636898,1.5134947586e-09,1.673911171e-09,1.5111698642e-09,1.673911171e-09,1.5390683801e-09
1987-10-27,0.00046388364251,1.580916154e-09,1.5111698642e-09,1.5111698642e-09,1.5855659427e-09,1.580916154e-09
1987-10-28,1.0943272743e-05,1.7436574608e-09,1.6692613822e-09,1.6692613822e-09,1.7436574608e-09,1.7064594756e-09
1987-10-29,0.00043588362082,1.9761452738e-09,1.7436574608e-09,1.7436574608e-09,1.9761452738e-09,1.9528963301e-09
1987-10-30,0.00040592361343,1.8599014214e-09,2.0226427281e-09,1.8599014214e-09,2.0226427281e-09,2.0040435731e-09
1987-11-03,8.0727272752e-06,1.7204087336e-09,1.7204087336e-09,1.7204087336e-09,1.7204087336e-09,1.7204087336e-09
1987-11-04,0.00037957528955,1.7436574608e-09,1.7204087336e-09,1.6971600064e-09,1.7436574608e-09,1.7018097952e-09
1987-11-05,0.00015768617893,1.8599014214e-09,1.7436574608e-09,1.7204087336e-09,1.8599014214e-09,1.8296779028e-09
1987-11-06,0.00035657346933,2.0923889096e-09,1.8599014214e-09,1.8599014214e-09,2.0923889096e-09,2.0156681532e-09
1987-11-09,0.00028516800465,1.9761452738e-09,2.0923889096e-09,1.9761452738e-09,2.0923889096e-09,1.9947442122e-09
1987-11-10,0.00016769817234,1.9993940009e-09,1.9761452738e-09,1.9761452738e-09,2.0226427281e-09,2.0040435731e-09
1987-11-11,0.00077399457754,2.0226427281e-09,2.0226427281e-09,1.9993940009e-09,2.0226427281e-09,2.0156681532e-09
1987-11-12,0.00052747564776,2.0923889096e-09,2.0226427281e-09,2.0226427281e-09,2.0923889096e-09,2.0389168804e-09
1987-11-13,0.00041138180047,2.0923889096e-09,2.0923889096e-09,2.0923889096e-09,2.0923889096e-09,2.0923889096e-09
1987-11-16,0.00048763631758,2.0691401824e-09,2.0923889096e-09,2.0458914553e-09,2.0923889096e-09,2.0784395434e-09
1987-11-17,0.00024607999867,2.0458914553e-09,2.0458914553e-09,1.9761452738e-09,2.0458914553e-09,2.0458914553e-09
1987-11-18,0.0001461818137,1.8599014214e-09,1.9761452738e-09,1.8134038588e-09,1.9761452738e-09,1.8692007823e-09
1987-11-19,0.00024855272099,1.7436574608e-09,1.8134038588e-09,1.7436574608e-09,1.8134038588e-09,1.7855052346e-09
1987-11-20,3.7594546903e-05,1.6529873382e-09,1.6506624438e-09,1.6506624438e-09,1.673911171e-09,1.6576371269e-09
1987-11-23,0.0004072036181,1.6157892448e-09,1.6274137166e-09,1.580916154e-09,1.6274137166e-09,1.5971901981e-09
1987-11-24,5.5636363951e-05,1.8134038588e-09,1.7436574608e-09,1.7436574608e-09,1.8134038588e-09,1.7785306598e-09
1987-11-25,0.00049259124256,1.9296476029e-09,1.8599014214e-09,1.8366526942e-09,1.9296476029e-09,1.9040738731e-09
1987-11-26,0.0016396393044,2.0923889096e-09,1.9645206936e-09,1.9645206936e-09,2.0923889096e-09,2.0668153963e-09
1987-11-27,3.5545456477e-05,1.9761452738e-09,1.9761452738e-09,1.9761452738e-09,1.9761452738e-09,1.9761452738e-09
1987-11-30,4.7570909119e-05,1.9761452738e-09,1.9761452738e-09,1.9063988757e-09,1.9761452738e-09,1.9621959075e-09
1987-12-01,0.00024190909145,2.0458914553e-09,1.9761452738e-09,1.9761452738e-09,2.0691401824e-09,2.0621656076e-09
1987-12-02,0.00028807274293,1.9761452738e-09,1.9761452738e-09,1.9296476029e-09,1.9761452738e-09,1.9761452738e-09
1987-12-03,0.00028656726669,2.0226427281e-09,1.9761452738e-09,1.9761452738e-09,2.0226427281e-09,2.0133431506e-09
1987-12-04,0.00082873560962,2.0458914553e-09,2.0226427281e-09,1.9761452738e-09,2.0923889096e-09,2.0528660301e-09
1987-12-07,0.00043394400515,2.0923889096e-09,2.0226427281e-09,2.0226427281e-09,2.0923889096e-09,2.050541244e-09
1987-12-08,4.9599999731e-05,2.0226427281e-09,2.0691401824e-09,2.0226427281e-09,2.0691401824e-09,2.0458914553e-09
1987-12-10,0.00025098183182,1.9761452738e-09,1.9761452738e-09,1.9761452738e-09,1.9761452738e-09,1.9761452738e-09
1987-12-11,2.0592728799e-05,1.8831501486e-09,1.8599014214e-09,1.8599014214e-09,1.8831501486e-09,1.8808253624e-09
1987-12-14,0.00019088727894,1.8134038588e-09,1.8134038588e-09,1.7436574608e-09,1.8134038588e-09,1.8134038588e-09
1987-12-15,5.1250906153e-05,1.8134038588e-09,1.8134038588e-09,1.8134038588e-09,1.8366526942e-09,1.8203783254e-09
1987-12-16,8.4523639117e-05,1.8134038588e-09,1.8134038588e-09,1.8134038588e-09,1.8134038588e-09,1.8134038588e-09
1987-12-17,1.6291636872e-05,1.7552819326e-09,1.7552819326e-09,1.7436574608e-09,1.8366526942e-09,1.8273531167e-09
1987-12-18,0.00019549091838,1.8599014214e-09,1.8599014214e-09,1.8599014214e-09,1.8599014214e-09,1.8599014214e-09
1987-12-21,3.3496363597e-05,1.8622262075e-09,1.8599014214e-09,1.8599014214e-09,1.8622262075e-09,1.8622262075e-09
1987-12-22,6.0293454474e-05,1.8831501486e-09,1.8599014214e-09,1.8599014214e-09,1.8831501486e-09,1.8622262075e-09
1987-12-23,0.00011317090216,1.9063988757e-09,1.9063988757e-09,1.8831501486e-09,1.9063988757e-09,1.9040738731e-09
1987-12-28,7.527272471e-05,1.9063988757e-09,1.9296476029e-09,1.9063988757e-09,1.9296476029e-09,1.9249978142e-09
1987-12-29,0.00017304944951,2.0923889096e-09,1.9296476029e-09,1.9296476029e-09,2.0923889096e-09,1.9970689983e-09
1987-12-30,6.0981820253e-05,1.9993940009e-09,1.9993940009e-09,1.9993940009e-09,1.9993940009e-09,1.9993940009e-09
1988-01-04,0.00010856800838,2.1388865805e-09,2.0063685758e-09,2.0063685758e-09,2.1388865805e-09,2.0970389149e-09
1988-01-05,0.0004564447279,2.3713740687e-09,2.1388865805e-09,2.1388865805e-09,2.3713740687e-09,2.3179020395e-09
1988-01-06,0.0018217308441,2.6038617734e-09,2.4411204667e-09,2.4411204667e-09,2.6736081714e-09,2.6038617734e-09
1988-01-07,0.00043239274621,2.5573643191e-09,2.6038617734e-09,2.5573643191e-09,2.6038617734e-09,2.5596893217e-09
1988-01-08,0.00015519999916,2.5573643191e-09,2.5573643191e-09,2.5573643191e-09,2.5573643191e-09,2.5573643191e-09
1988-01-11,0.00025199999863,2.5573643191e-09,2.5573643191e-09,2.5573643191e-09,2.5573643191e-09,2.5573643191e-09
1988-01-12,0.00025929091329,2.5341153754e-09,2.5573643191e-09,2.5341153754e-09,2.5573643191e-09,2.5503897442e-09
1988-01-13,0.00014705818011,2.5108668647e-09,2.5341153754e-09,2.5108668647e-09,2.5596893217e-09,2.5410901668e-09
1988-01-14,2.0999999717e-05,2.4411204667e-09,2.4411204667e-09,2.4411204667e-09,2.4411204667e-09,2.4411204667e-09
1988-01-15,5.7272726501e-05,2.4411204667e-09,2.4411204667e-09,2.4411204667e-09,2.4411204667e-09,2.4411204667e-09
1988-01-18,0.00010477090559,2.3713740687e-09,2.4178717395e-09,2.3713740687e-09,2.4178717395e-09,2.3922980097e-09
1988-01-19,7.8181820837e-05,2.4411204667e-09,2.5573643191e-09,2.4411204667e-09,2.5573643191e-09,2.4992425012e-09
1988-01-20,3.8044364344e-05,2.2318817057e-09,2.3248766143e-09,2.2318817057e-09,2.3248766143e-09,2.2946533123e-09
1988-01-21,0.00020331492654,2.327201617e-09,2.2551302163e-09,2.2551302163e-09,2.3713740687e-09,2.3295266196e-09
1988-01-22,0.00024446617968,2.4387954641e-09,2.3248766143e-09,2.3248766143e-09,2.4411204667e-09,2.357424919e-09
1988-01-26,4.822254567e-05,2.4411204667e-09,2.3248766143e-09,2.208632762e-09,2.4411204667e-09,2.3899732236e-09
1988-01-27,0.00050781817497,2.4411204667e-09,2.4411204667e-09,2.4411204667e-09,2.4411204667e-09,2.4411204667e-09
1988-01-28,0.00045519963246,2.4411204667e-09,2.4411204667e-09,2.4411204667e-09,2.6038617734e-09,2.4852931349e-09
1988-01-29,0.00056397926885,2.6736081714e-09,2.6085117787e-09,2.6085117787e-09,2.7898520238e-09,2.7131310509e-09
1988-02-01,0.00032272727754,2.9060958762e-09,2.9060958762e-09,2.9060958762e-09,2.9060958762e-09,2.9060958762e-09
1988-02-02,0.00076789778247,3.0688371829e-09,3.0223397286e-09,3.0223397286e-09,3.0688371829e-09,3.0665121803e-09
1988-02-03,0.0012811760613,3.2315784896e-09,3.1385835809e-09,3.1385835809e-09,3.3710710691e-09,3.2478528584e-09
1988-02-04,0.00076382835392,3.2548274333e-09,3.2315784896e-09,3.2292537035e-09,3.347822342e-09,3.2362282783e-09
1988-02-05,0.00014050908929,3.2083297624e-09,3.2060049763e-09,3.2060049763e-09,3.2083297624e-09,3.2083297624e-09
1988-02-08,0.00010315273092,3.2548274333e-09,3.4687159831e-09,3.2548274333e-09,3.4873149215e-09,3.4710409857e-09
1988-02-09,0.00023723637096,3.2548274333e-09,3.2292537035e-09,3.2292537035e-09,3.2571522194e-09,3.2548274333e-09
1988-02-10,0.00052117200159,3.2548274333e-09,3.368746283e-09,3.2548274333e-09,3.368746283e-09,3.2571522194e-09
1988-02-11,0.00015006000125,3.1362585783e-09,3.2292537035e-09,3.1362585783e-09,3.2292537035e-09,3.1455581558e-09
1988-02-12,0.00043003637479,3.1385835809e-09,3.0223397286e-09,3.0223397286e-09,3.1385835809e-09,3.1385835809e-09
1988-02-18,9.8181820729e-05,3.1385835809e-09,3.1385835809e-09,3.1385835809e-09,3.1385835809e-09,3.1385835809e-09
1988-02-19,0.00077141087435,3.3710710691e-09,3.4803403467e-09,3.3664212804e-09,3.4826651328e-09,3.378045644e-09
1988-02-22,4.7186182439e-05,3.3710710691e-09,3.5338125924e-09,3.3710710691e-09,3.5338125924e-09,3.3896702241e-09
1988-02-23,6.4327270876e-05,3.3710710691e-09,3.3129492512e-09,3.3129492512e-09,3.3733960718e-09,3.3710710691e-09
1988-02-24,0.00034958180812,3.3710710691e-09,3.3710710691e-09,3.3710710691e-09,3.3710710691e-09,3.3710710691e-09
1988-02-25,0.00049299998581,3.3710710691e-09,3.3710710691e-09,3.3710710691e-09,3.3710710691e-09,3.3710710691e-09
1988-02-26,0.00036934545772,3.4873149215e-09,3.3710710691e-09,3.3710710691e-09,3.4873149215e-09,3.3733960718e-09
1988-02-29,0.00081219054013,3.4873149215e-09,3.4873149215e-09,3.3710710691e-09,3.4873149215e-09,3.4803403467e-09
1988-03-01,7.4530912394e-05,3.4640661943e-09,3.3710710691e-09,3.3710710691e-09,3.4640661943e-09,3.4036195903e-09
1988-03-02,0.0002247272677,3.4873149215e-09,3.4873149215e-09,3.4873149215e-09,3.4873149215e-09,3.4873149215e-09
1988-03-03,0.00031363635663,3.4873149215e-09,3.4873149215e-09,3.4873149215e-09,3.4873149215e-09,3.4873149215e-09
1988-03-07,7.6020363481e-05,3.7198028428e-09,3.4873149215e-09,3.4873149215e-09,3.7198028428e-09,3.496614499e-09
1988-03-08,0.00032086402029,3.8360464786e-09,3.7221274124e-09,3.7198028428e-09,3.8360464786e-09,3.7848994521e-09
1988-03-09,0.00075391277264,3.8360464786e-09,3.8360464786e-09,3.7198028428e-09,3.9522905475e-09,3.8406964839e-09
1988-03-10,6.3017455963e-05,3.9522905475e-09,3.8360464786e-09,3.8360464786e-09,3.9522905475e-09,3.9499655449e-09
1988-03-11,3.7090911107e-06,3.9522905475e-09,3.9522905475e-09,3.9522905475e-09,3.9522905475e-09,3.9522905475e-09
